X,Y,Z,Energy
-2076,174,53,385047
-2076,1695,209,211178
1505,174,98,77726
-1752,364,798,326795
364,-1125,234,659604
-554,1505,380,34923
554,-174,257,196864
-1695,174,608,118091
554,-1885,504,110666
-1315,744,963,271521
-2076,174,62,93940
1442,-364,207,185541
1315,934,861,33734
1695,1315,981,376536
1695,-1885,251,84523
554,-744,132,148977
744,364,984,661730
-1125,1695,205,197056
554,2076,978,93407
-1125,1125,811,140299
1505,174,82,65880
744,1695,993,59772
744,1885,661,79230
-554,364,425,234387
-364,744,999,83500
1885,-364,753,32509
1695,1695,234,100684
554,1125,153,74601
364,174,89,211659
1885,-364,115,41636
1885,-364,637,41409
174,364,80,507836
1885,-364,389,43320
1125,-1505,888,143941
174,1695,941,637742
1885,-364,319,32607
986,-554,697,234406
1885,-364,370,34239
1885,-364,365,34711
1885,-364,546,35698
